gene,logFC,logCPM,F,PValue,FDR
SERPINF2,2.63058002254495,0.329052256536899,28.7473102357128,4.93642356031473e-06,0.000630866969034738
C17orf82,3.03336985263947,-1.56702642668949,27.2024408635382,5.0544471100326e-06,0.000640782586821492
PTGIR,2.64729308445485,1.71090808612825,28.7089758573567,5.10150837258314e-06,0.000641615898256548
RGS6,1.48465261420724,1.55971404939506,28.5413024292176,5.33366541402765e-06,0.000663531539102448
ABHD17B,-0.613259439204358,3.2182007898468,28.4856811566864,5.35950255601145e-06,0.000663531539102448
SYNE3,2.00290049281384,4.6459642151878,28.4700279100105,5.4199230062457e-06,0.000665271883257211
ANXA1,2.3076867381949,6.66547453539617,28.4455461301164,5.45752160178188e-06,0.000665271883257211
CCL26,3.60553872782293,-1.72366192549282,26.5297618000274,5.5831567598186e-06,0.000673719843336449
KLF9,-1.03336557717764,6.49141010151484,28.30224895629,5.68740967413819e-06,0.000673719843336449
COL4A2,1.25529613286647,7.53743366411414,28.2416923379349,5.78764244977613e-06,0.000673719843336449
CRMP1,1.99507489066945,1.78933938144586,28.2341378176423,5.83124153749055e-06,0.000673719843336449
SRC,2.31683711240514,2.43793641488592,28.2086972947198,5.86414660939244e-06,0.000673719843336449
HSF2,-1.29932330613584,5.22403468281803,28.170241849841,5.90832297076203e-06,0.000673719843336449
AZIN2,1.30432889419659,2.10337508791152,28.1761564446959,5.90992234328037e-06,0.000673719843336449
MYADM,1.54501721952734,6.04792611845359,28.1500485280926,5.94290607763052e-06,0.000673719843336449
PHLDA1,2.16769792670261,2.88128038053703,28.1098257092937,6.02319717694549e-06,0.000673719843336449
LRRC37A3,0.811447810019963,2.71541253476075,28.0633586435418,6.06191502303448e-06,0.000673719843336449
KYNU,3.57135891584896,-0.384009634296629,27.1491295612505,6.07098099935616e-06,0.000673719843336449
UAP1L1,2.04319019997559,2.99587547657266,28.0297737319694,6.16153413518558e-06,0.000673719843336449
C1QA,3.53073743924429,4.83581686868126,28.0266651426646,6.16308797293972e-06,0.000673719843336449
PRG4,5.36097369115677,4.89592221359542,28.0289718940697,6.18814635339649e-06,0.000673719843336449
SLC23A3,1.86512591633856,-1.08329258274371,27.7104055311455,6.30054679369012e-06,0.000673719843336449
BDKRB2,3.49629872276834,2.36507301109949,27.9626350211136,6.32277488777167e-06,0.000673719843336449
ENO2,1.95883938652164,3.49983119167536,27.922908147082,6.35049620278129e-06,0.000673719843336449
WWC3,0.619323092027994,4.433930782927,27.8703514030574,6.40238909213936e-06,0.000673719843336449
FAM20A,2.31702692739081,2.92438368808414,27.8997393520416,6.40264042312132e-06,0.000673719843336449
RAI14,1.56947282972863,2.88525870709954,27.8644606067906,6.46147379215942e-06,0.000673719843336449
MCAM,1.84489090718713,7.03009069622531,27.8452224072007,6.49180921046539e-06,0.000673719843336449
TUBA1A,1.80085059298895,7.11006134908893,27.8195581654136,6.54040903753927e-06,0.000673719843336449
AC005034.4,-0.667181974251116,1.96391501180421,27.7868748772159,6.56546434882922e-06,0.000673719843336449
SVEP1,1.63201474085277,4.88722943537369,27.7883525048961,6.60025977996868e-06,0.000673719843336449
PHOSPHO1,2.2192491044535,2.63051358057781,27.7805947032095,6.6321887777173e-06,0.000673719843336449
CDCA7L,-1.08210796477769,1.44672401563362,27.6621732354757,6.86300817418203e-06,0.000688862024523994
MAN2B2,1.67262103071922,3.91979396144488,27.6091493088627,6.95505738973982e-06,0.000688862024523994
ADAMTS2,4.11387020145229,4.44125835991235,27.6127966477249,6.96298623560356e-06,0.000688862024523994
MYC,1.86174840246855,3.33598358756686,27.5883538594854,7.00016113673493e-06,0.000688862024523994
TRPV2,1.38206104757031,3.03669080465407,27.5698468707561,7.03825216653304e-06,0.000688862024523994
LHFPL2,1.66673933644352,3.42086947283076,27.567342094433,7.04206777136916e-06,0.000688862024523994
B3GNT9,1.90744072540937,1.50558626438276,27.5171349817954,7.18716058349118e-06,0.000698741924948373
HOXA9,-0.780241418463584,3.28995566477406,27.4426013601439,7.301683720019e-06,0.000704539872900034
PDLIM4,1.92519514906844,3.00214163321799,27.42196405472,7.35291265429042e-06,0.000704539872900034
NFKBID,2.49309469828005,1.10248221529043,27.4221096056555,7.40115061530941e-06,0.000704539872900034
LOXL3,1.81181384978129,2.23341902839651,27.3940777292095,7.4246329762293e-06,0.000704539872900034
MEDAG,2.68303155155736,4.01784747518989,27.3194548677698,7.57337050190728e-06,0.000714376204426932
TUBA1C,1.16657192046889,5.90246863812662,27.2770366458191,7.66314716612184e-06,0.000718370009769158
LPIN2,1.39167396368437,3.35480235589566,27.2004589554,7.83994517826555e-06,0.000718370009769158
LNPK,-0.875222590622091,5.22329580078767,27.1955559947238,7.84865284523897e-06,0.000718370009769158
ZNF148,-0.687704462330716,4.60305121388868,27.1772300798055,7.88120540241661e-06,0.000718370009769158
ARHGEF10,0.913495182636297,4.26043744254578,27.1714967635608,7.904610756915e-06,0.000718370009769158
VWA1,1.54789423417712,4.12128858873652,27.1709909671675,7.90673626809191e-06,0.000718370009769158
PTGFRN,2.2511248545734,4.18549042040831,27.1334768242145,7.99550185568269e-06,0.000718370009769158
PLK3,1.65880254788409,2.66797007804722,27.1156739034462,8.04591712933819e-06,0.000718370009769158
MAST3,1.650836635736,2.72482072640329,27.0774864636822,8.1359757440556e-06,0.000718370009769158
TNXB,2.12106277323983,7.94038708268799,27.048412679759,8.195778119722e-06,0.000718370009769158
CD163L1,2.58490751505534,1.5297386158566,27.0618657383335,8.22714805034927e-06,0.000718370009769158
MYO1D,1.83686150404911,4.13617263225914,27.0360618769706,8.22716597076743e-06,0.000718370009769158
LRP1,1.78738249033002,7.73753497976697,27.030716946115,8.23860607556311e-06,0.000718370009769158
