gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
SGSM1,-0.808857142857143,7.197,-2.6807310061046,0.017318530862129,0.0771616907407895,-3.18422300053014
P2RX7,0.964714285714285,9.21935714285714,2.67992358181889,0.0173463822010659,0.0772261454305772,-3.18567229461749
UBE2O,-0.582857142857143,7.109,-2.67933110978593,0.0173668464998415,0.0772355997812812,-3.18673567463645
CNTN6,-1.03885714285714,5.51285714285714,-2.67930806272178,0.0173676430290364,0.0772355997812812,-3.18677703851549
LIN7A,-0.985714285714287,6.63085714285714,-2.67254707519959,0.0176028401640319,0.0780136612740783,-3.19890673450145
CCDC3,-1.309,7.21521428571429,-2.67170835147571,0.017632230876228,0.0780832452649369,-3.20041081864957
CSRNP3,-1.06985714285714,7.83321428571429,-2.67066361278306,0.0176689071154216,0.0781546191808575,-3.20228414930537
ENC1,-2.74414285714286,7.01035714285714,-2.67007832029171,0.0176894863921301,0.0781546191808575,-3.20333354545155
PRKCE,-1.16357142857143,8.1935,-2.66866059402295,0.0177394306135825,0.0782297360252646,-3.20587515809699
NECAB1,-0.972000000000001,10.2108571428571,-2.66814333599509,0.0177576866759232,0.0782547714815638,-3.20680236423652
RYR2,-1.28171428571429,7.50085714285714,-2.66761351215477,0.0177764050482782,0.078274673555287,-3.20775203833387
MPPED1,-1.54257142857143,7.65428571428571,-2.66671974487777,0.0178080245315827,0.0783140856599557,-3.2093539265726
SYNPO2,0.700714285714285,8.41978571428571,2.66610875281476,0.0178296713140196,0.0783729975992002,-3.21044890595867
RORB,-1.35685714285714,7.20557142857143,-2.66508571604836,0.017865973300827,0.0784365489343718,-3.2122821528763
NPTX1,-2.30742857142857,7.20242857142857,-2.66422013860828,0.0178967436519301,0.0784862271235843,-3.21383307003948
TMEM38B,0.677857142857142,6.26178571428572,2.66269855448526,0.0179509584305549,0.0785376731362522,-3.21655902746587
LDB2,-1.429,7.76107142857143,-2.66188129093676,0.0179801433538896,0.0785618131180303,-3.21802297922264
NAALAD2,-0.915857142857144,5.71892857142857,-2.66143090362164,0.0179962465036327,0.0785960209370145,-3.21882969221808
PIWIL4,0.626857142857143,5.90157142857143,2.66086919278104,0.01801634942828,0.0786476577294262,-3.21983574403152
FANCB,0.851142857142856,6.554,2.65992498885084,0.0180501901608739,0.0786869005682154,-3.22152671275514
RNFT2,-0.687000000000001,7.29678571428571,-2.65915568577674,0.0180778077205941,0.0787041229390658,-3.22290431616669
BTG3,0.679857142857142,6.24235714285714,2.65912257221032,0.0180789973947828,0.0787041229390658,-3.22296361041001
TPRG1L,-0.716000000000002,8.33071428571429,-2.65718674146704,0.0181486776730371,0.0789351141099721,-3.22642957721038
PNKD,-0.593000000000001,6.9475,-2.65474909148625,0.0182367897427906,0.0792820438291844,-3.23079290691505
LRRTM1,-1.35971428571429,6.63785714285714,-2.65349945448678,0.0182821194484073,0.0794385466098852,-3.23302924401355
CHST1,-1.04871428571429,7.79492857142857,-2.65329586417723,0.0182895148369111,0.0794385466098852,-3.23339355616235
COX7B,-0.933714285714286,5.34128571428571,-2.65173218044368,0.0183464117330744,0.0794893814599595,-3.23619138149321
COL12A1,-0.773857142857143,5.05021428571429,-2.65127735258421,0.0183629933418636,0.07950322413599,-3.23700508732281
HTATIP2,0.955142857142856,7.40357142857143,2.6505316080947,0.0183902121619501,0.0795210623841426,-3.23833916113845
