"",all_results,benchmark
lu_adc_GSE123902_GSM3516668_126680944822109,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_126706343136565,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126707820064043,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126765621467877,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126776224737508,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_126776251475892,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126834206166428,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126834221201828,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126834233784110,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_126836637060515,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_129457491724019,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_129457506859443,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_129497354365739,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_129565698702686,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_129565699234155,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_129583031379686,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_129583032191926,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_129583032200550,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_129663543241588,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_129663543428957,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_129663543462638,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_129978437323125,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130057606675766,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130144701107636,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130144714512686,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130194213554011,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130203891455788,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130529113597675,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130529114045733,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130624783301877,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130624783342813,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130693128177387,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130754452805340,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_130754465356702,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_131089728689964,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_131097916008182,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_131097946864539,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_131175257164213,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_131217354582364,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_131217382395302,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_131234280729315,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_131234293566189,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_131293470701982,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_131293483560163,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_131309609019230,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_133854465247582,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_133854492482851,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_133895281359283,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_133982105852316,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_133982151698219,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_133982151730988,TRUE,FALSE
lu_adc_GSE123902_GSM3516668_134033660143405,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_134033660660963,TRUE,TRUE
lu_adc_GSE123902_GSM3516668_134041161386395,TRUE,FALSE
