gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
SLC46A3,-0.591993434822112,8.55881740649578,-3.0177250069703,0.0027292677174464,0.0510584782696103,-1.83459023746986
NR4A1,-0.592253182051025,11.618450854138,-3.01606443633193,0.00274388147090472,0.051178013951706,-1.83925768133285
RYR1,0.651437657750168,7.69875609021972,2.99943869185074,0.00289420324834546,0.0528783675248023,-1.88585413568525
MIR24-2,-0.632877136666683,7.26909147647042,-2.9882753458586,0.00299933318810403,0.0538883254768631,-1.91700418259645
ALDH3B1,-0.65573338205617,7.57046666129859,-2.9720135340724,0.0031587463263353,0.0554450639154324,-1.96218364667174
TNNC1,-0.852293583962105,8.33873227506479,-2.96980430403757,0.00318099169101046,0.0555836442850249,-1.96830339227244
NETO2,0.679536088652689,9.80789731245352,2.95315586015875,0.00335329629644522,0.0572177723416937,-2.01428190039073
SVEP1,-0.674965415959364,7.60639464441972,-2.94713671912455,0.00341766386895885,0.057755885075901,-2.03084469826976
ERRFI1,-0.631266163915841,10.8599122667493,-2.93952771906333,0.00350064905119306,0.0584307972645658,-2.05173632887263
RTN3,0.637137682586082,7.58015454540845,2.92758930024808,0.0036345685346207,0.0596205172585438,-2.08441153260467
PRSS1,0.825084335945177,8.80296939304507,2.91027417642304,0.00383712572197937,0.0614151527402207,-2.13157790873478
ERAP2,0.649204744486968,10.5762381115014,2.90654368919335,0.00388209266065172,0.0616255692852089,-2.14170489515418
LRP2BP,-0.668412920733914,8.09819223315775,-2.89925241968768,0.00397137157067405,0.0627854934030374,-2.1614624818592
FGF9,-0.7362806845189,10.6019691096225,-2.89279607403419,0.00405198576886332,0.0633702215803389,-2.17891818868437
BNIPL,0.732576999929306,10.1946242580704,2.88275469907628,0.00418033024478171,0.0649404243908602,-2.20599292982152
RNF39,-0.766414588979562,10.084922736538,-2.8765357236272,0.00426166448968108,0.0660273884934588,-2.22271630046578
LGR6,-0.699747632301963,7.08266456517465,-2.8727908526989,0.00431133396917907,0.0662150192532702,-2.23276998956896
ANKRD1,-0.68850374964812,8.75822605321972,-2.86550734362956,0.00440944994713263,0.0666671310918479,-2.25228796378596
SYNGR3,0.640586160680245,7.29044162911268,2.8639135205907,0.00443118948605771,0.0667839453021927,-2.256552712317
CDH11,-0.660539372739012,10.3734029523662,-2.86150666969192,0.00446420352652742,0.0669535141498045,-2.26298867313324
HSF1,0.621430984129845,8.24700700429296,2.85800964331259,0.00451257009793204,0.0669535141498045,-2.27233059092696
ALDH1A2,-0.765255714557036,9.65870454441972,-2.82593048283188,0.00497900357105601,0.0711636180758559,-2.35751813027209
CCND2,-0.59749342332697,8.88662670614366,-2.82503349727958,0.00499265337838547,0.0712710469985739,-2.35988692843853
NAGA,0.604811614216649,9.33806190270141,2.82445851796029,0.00500142094357364,0.0713086029010132,-2.36140498119791
CD38,0.606828977099837,8.2502258887493,2.81728720303829,0.00511195332556057,0.0722258691666925,-2.38031381388601
TRIP10,-0.609959992573339,9.82133441388732,-2.81504625884362,0.0051469452131375,0.072241523157286,-2.38621317281532
RHBDD3,0.687762166563913,10.3187932859014,2.76428897745292,0.00600002937199862,0.078899230525252,-2.51863214740973
CXCL10,0.636020903845147,11.686786415969,2.76416191536627,0.00600231667679198,0.078899230525252,-2.51896074581417
FOLR3,0.729012616705155,10.316405173107,2.75359563236622,0.00619530869183755,0.0802730335470505,-2.54623592304657
AURKB,0.65178508569395,8.38654955357747,2.749978342957,0.00626265627963977,0.0808982061130212,-2.55555042132982
