"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
147,CD36,-6.34326023960125,6.60366996100826,-10.3438648281673,2.26474828233584e-18,1.75232972539373e-16,31.2276048363553
148,ACSS2,-2.25016445988123,6.54038867735537,-10.3233517044399,2.53784256526744e-18,1.95036630657783e-16,31.1152561738694
149,COX7A1,-3.99901604470532,7.42506708689256,-10.2746284491724,3.32573601272889e-18,2.53860665974356e-16,30.8484521580105
150,EIF4E3,-2.51774514393609,4.53581805905785,-10.2734309254177,3.3479074992222e-18,2.53860665974356e-16,30.8418955395182
151,FANCI,2.54615128836878,6.33256736146281,10.2360898527725,4.11855899773431e-18,3.09544969321282e-16,30.6374707568283
152,EPB41L2,-2.77777245304638,3.58099345661983,-10.2352975519014,4.13670083847678e-18,3.09544969321282e-16,30.6331337783408
153,ARG2,-1.122706756056,2.70672483129752,-10.2287034239785,4.29082162330628e-18,3.18979118584874e-16,30.5970389778852
154,CDC20,3.82126383078394,6.7515147441405,10.2238267076777,4.40848030083422e-18,3.25597759361613e-16,30.5703458568543
155,ACSS3,-3.07862070176527,3.91732136555372,-10.2169347252184,4.58027714400168e-18,3.36103691844356e-16,30.5326233928773
156,TMTC1,-2.3398957036069,3.47524024381818,-10.1782507166165,5.67635661931479e-18,4.13864616590297e-16,30.3209219737565
157,GINS1,3.22427680552206,6.57139487815703,10.1768502665558,5.72061245315537e-18,4.1443468816681e-16,30.3132589075948
158,VTI1B,-2.16453530291629,7.87669162542975,-10.1298533599024,7.42357766364989e-18,5.34403622445277e-16,30.0561413188063
159,ADH5,-1.46954777534672,10.2169213181074,-10.1011844072274,8.70227010600684e-18,6.22513334501395e-16,29.8993375008303
160,FTCDNL1,-1.5760472555905,2.67362977693388,-10.0870633878304,9.41073204399964e-18,6.68985414177825e-16,29.8221154492473
161,STAP2,2.64424720592987,7.13679568678512,10.0713734938762,1.02656581134593e-17,7.25227300512333e-16,29.7363237021977
162,VEGFB,-2.47600777820475,5.32678694684298,-10.0611916553856,1.0861525255721e-17,7.62586347275124e-16,29.6806554356589
163,CRYAB,-4.68725263447229,6.98511705691736,-10.0516292190719,1.14525585526677e-17,7.99149699251793e-16,29.6283778024014
164,GHR,-4.81513107833372,5.84554764028926,-10.0489624483694,1.16230400824227e-17,8.04501613146391e-16,29.6137993413184
165,FBLN5,-2.89887528714649,4.88475893699174,-10.048223604195,1.1670719726495e-17,8.04501613146391e-16,29.6097603503856
166,DNMT1,1.89556603722342,7.68759762679339,10.0467905543967,1.17637559219974e-17,8.0602987865541e-16,29.6019264601126
167,CALB2,-3.80351978775509,4.78191928016529,-10.0448590656115,1.18903246582433e-17,8.09823668639876e-16,29.5913679543914
168,UGP2,-2.97766102126075,8.89313570290083,-10.0402968480863,1.21947088071126e-17,8.25610821262492e-16,29.5664291995731
169,CUTC,-2.18851360612104,5.39132950638843,-10.0389502140593,1.22860327263548e-17,8.26871812009229e-16,29.5590681817703
170,NDE1,2.11119477768269,6.01838275736364,10.0228376142469,1.34331796960157e-17,8.98758740367547e-16,29.470999276536
171,RAB15,2.11856694932636,5.7539581748843,9.99051501097924,1.60669363346595e-17,1.0686861629849e-15,29.2943651754305
172,GTDC1,-1.80265629941855,5.56267800642149,-9.98508295324513,1.65576358711015e-17,1.094921804639e-15,29.264685318812
173,HOXD-AS2,-2.25463779454977,3.6927855854876,-9.97107855752651,1.78928389884119e-17,1.17637659337686e-15,29.1881742010642
174,EPS8L2,2.6817403253077,7.50326928217355,9.95127123392501,1.99668612656152e-17,1.3051901151443e-15,29.079975982865
175,CAV2,-4.60992374763236,6.15944913852066,-9.93561667676207,2.17745233394771e-17,1.41521959121836e-15,28.9944762783647
176,RDH5,-1.8380798135526,4.4420189291157,-9.93285427733008,2.21100580521324e-17,1.42886250161906e-15,28.979390312212
177,IGF1,-4.07251591209163,5.7098763397438,-9.9094993843385,2.51612531326584e-17,1.61685928322518e-15,28.8518607303497
178,MTHFD2,2.10529021268778,9.48576412258678,9.89903333618743,2.666169060773e-17,1.70365207287821e-15,28.7947200553454
179,ATP2A2,2.17119843055713,7.4654887974876,9.88423099918359,2.89375314221866e-17,1.83874571170922e-15,28.7139148543533
180,GPATCH11,-1.80226211736029,3.27477125,-9.85461587816145,3.408943392069e-17,2.1540734522996e-15,28.5522832428029
181,FOLR2,-2.98660409440951,4.57691712280992,-9.84855659474041,3.52514057314775e-17,2.21164210588573e-15,28.5192192513245
182,F8,-2.19859467190328,4.57369976286777,-9.84785036450242,3.53893848488837e-17,2.21164210588573e-15,28.5153656642312
183,RRAGD,-2.88919514534729,4.31782154980992,-9.8345900483206,3.8082556643378e-17,2.36694535115727e-15,28.4430152107264
184,ST14,2.73172724519005,7.9625585364876,9.81380620017941,4.27212115066545e-17,2.64082097650374e-15,28.3296354356614
