"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
111,FOXO1,-1.86857352271744,4.67671473754004,-26.4500310152833,6.37193592998714e-122,7.31280106415371e-120,267.586595174006
112,CYYR1,-2.16719258567272,4.31994742669576,-26.4460031008884,6.81678582172716e-122,7.75348523062342e-120,267.523097788543
113,CSN1S1,-5.1298589942617,-4.46777562854671,-26.3839318860223,1.92787499661587e-121,2.17338049397253e-119,266.008791302828
114,SNCA,-2.15874395285948,0.579645715363818,-26.3300737662352,4.74907910288737e-121,5.30688760453352e-119,265.577848434391
115,GHR,-3.11789726743309,4.06301479363388,-26.3027637168828,7.5000288848826e-121,8.3080754751756e-119,265.129762043369
116,GSN,-2.41147250870051,8.97356586717328,-26.2939459786622,8.69214395242879e-121,9.54562256982676e-119,265.015529461491
117,EEPD1,-1.70614351967722,3.6266492889365,-26.2848190694274,1.01258400575318e-120,1.10250492728972e-118,264.858451719
118,DPT,-3.41696376191186,3.12747078767234,-26.2533863980626,1.71290136552194e-120,1.84920766910034e-118,264.320897607277
119,MIR99AHG,-2.51892938984635,2.18517601745385,-26.252417850712,1.7408683412881e-120,1.86360687392177e-118,264.344714354529
120,GIMAP8,-1.96643116274743,3.85190936676301,-26.2514232823037,1.77006164288333e-120,1.87906793905756e-118,264.28766724898
121,SLC25A27,-2.6815762339228,1.3869367704121,-26.2447826396593,1.9779268863615e-120,2.08238104176522e-118,264.221720195373
122,ITM2A,-2.82846872267771,4.26446089421959,-26.2417247165431,2.08168308519748e-120,2.17365252642055e-118,264.108597701438
123,HOXA7,-3.10249635143275,-0.980729098699413,-26.2390588222799,2.17656579397832e-120,2.2542497276008e-118,263.964700607455
124,MAOA,-3.83755039893408,4.02539461104367,-26.2351597099905,2.32317799991071e-120,2.38669068877923e-118,264.004134478073
125,CAT,-1.79385191707028,6.65110667433155,-26.2151685356038,3.24501436535359e-120,3.30705904001915e-118,263.663400389047
126,MTURN,-2.40577524217675,5.39574780045654,-26.070418890012,3.64071967736115e-119,3.68088317221458e-117,261.246579126306
127,ROBO3,-2.16465166575954,1.95349268875287,-26.0373733467407,6.31925620026685e-119,6.33866179017318e-117,260.768698685012
128,APCDD1,-2.50962346582744,4.38938665916305,-26.0358616919653,6.48065363469752e-119,6.44976926971967e-117,260.676070218589
129,WASF3,-2.34183765137082,2.29694258089643,-26.021840291287,8.18849133870559e-119,8.08629388866438e-117,260.503425231538
130,FAM126A,-2.2095903204261,4.1933126576669,-26.0144295912843,9.26591487945161e-119,9.07988381917954e-117,260.324580384553
131,CDKN1C,-2.28727291951988,3.77752124648873,-25.8964984028359,6.61649710180882e-118,6.43416462442309e-116,258.373158564324
132,IL11RA,-1.70879478492746,2.98427058130211,-25.8524074519716,1.37891003997761e-117,1.33075265146021e-115,257.681016263604
133,LOXL4,-2.77302510186816,2.27840199067648,-25.8360764364973,1.80974914616265e-117,1.73341311074932e-115,257.408955682744
134,SH3D19,-1.93232546946753,6.10735579812787,-25.814126223718,2.60793890357868e-117,2.47929355915588e-115,256.983194795202
