"",gene,logFC,AveExpr,t,P.Value,adj.P.Val,B
3410,ABCC5,0.75632887790956,6.15300938783401,7.133366041962,1.68652911674665e-12,4.35659112804253e-12,16.9220833236152
3411,GAB2,-0.73405859235963,5.47078237150175,-7.1310143569205,1.71441164692901e-12,4.42633658828387e-12,16.8747081506139
3412,AEBP1,0.869360383846764,9.23707275009206,7.1269138952728,1.7641153502243e-12,4.55303916027177e-12,16.862940588652
3413,BRICD5,0.931303125499149,0.551960661045267,7.1159730285473,1.90376579859824e-12,4.90812031061588e-12,17.4460682667096
3414,SDC2,-0.819974823758376,6.67652367243414,-7.11298244119315,1.94379121484618e-12,5.01022016635031e-12,16.737651531358
3415,STK32C,0.704223488277284,3.60533244771494,7.11262826267792,1.9485858623514e-12,5.02148627294513e-12,17.0952999575319
3416,TLE6,1.13073506810805,1.8346031322065,7.1122574876677,1.95361762749757e-12,5.03335839709038e-12,17.3448722608907
3417,MRPL41,0.709110840803535,4.89415183579501,7.09969540845636,2.13184667715165e-12,5.47588365002599e-12,16.8149599023208
3418,CXCL9,2.10612764012842,5.141753164956,7.09944576342621,2.13554573112685e-12,5.4841962219597e-12,16.9563262248119
3419,TRPM4,0.655966595658746,5.96289347207066,7.09341219805267,2.22688865252135e-12,5.71753058368916e-12,16.6575121774476
3420,LINC02381,-0.660185341416202,3.48300388951159,-7.09202808973307,2.24837786517524e-12,5.77145349316755e-12,16.8047170747293
3421,FANCG,0.66908586542523,-0.725107410279087,7.08613398583492,2.34219058112852e-12,6.00705978263892e-12,17.29838715162
3422,BTG2,-0.929332395414807,7.80418769972336,-7.08500887236974,2.36053023837101e-12,6.04755087447743e-12,16.5781900233758
3423,IRF4,-1.16831109630114,1.88514012012696,-7.08493227973559,2.36178383327054e-12,6.04945452668021e-12,16.9389380591843
3424,PACSIN3,0.850154177967973,5.20183139741705,7.08244131557227,2.40291184071709e-12,6.15346928909807e-12,16.6762118713319
3425,AMDHD2,0.672107818746313,3.66402283215596,7.07811570976185,2.47600879949274e-12,6.33791926230061e-12,16.8481117053135
3426,CDH24,0.622456668848171,3.1821202467036,7.06922252427328,2.63321804544754e-12,6.73451340826849e-12,16.8552018332775
3427,G6PD,0.605669769741208,6.07041493685454,7.06827553149575,2.65052507003336e-12,6.77438989534627e-12,16.4746082134878
3428,RAB3IP,0.676069812881119,4.83250384719285,7.06771106974843,2.66089412329075e-12,6.79942515998967e-12,16.6060244577902
3429,CRABP1,-2.1194456428485,0.2552828869573,-7.06642721990887,2.68462674827872e-12,6.85711195092789e-12,16.936121595797
3430,GMDS,0.653040226148775,4.97169442163437,7.05927977028643,2.82059993890944e-12,7.19976059373933e-12,16.5276915918795
3431,TSC22D3,-0.668696761916025,7.43053985737894,-7.05555931994192,2.89403097278269e-12,7.38242690990356e-12,16.3596055929248
3432,EIF4EBP1,0.910206675008313,5.39149223020337,7.04776613738358,3.05398258743003e-12,7.78039984486313e-12,16.422440950336
3433,ZNF587,0.7429212907214,5.17907308451485,7.04313802567507,3.15304731148602e-12,8.02760154572366e-12,16.4013762710963
3434,CHST1,1.42471802770031,3.39640985244821,7.04120358984035,3.19538270495579e-12,8.13014594610718e-12,16.7292800055777
3435,SIAE,-0.602804665505313,5.11206750651878,-7.04054321623167,3.20996245637088e-12,8.1654884382865e-12,16.2849079516448
3436,SLC43A3,-0.660034340296402,4.32362282495077,-7.03685811144064,3.29252944129536e-12,8.37372426484412e-12,16.3268594126688
3437,GLIPR2,-0.74662521972321,5.03367494181999,-7.02814894578953,3.49603979031492e-12,8.87796302516962e-12,16.1996369754651
3438,GADD45G,1.14525193977219,3.21220373515135,7.02759256262451,3.50945263482321e-12,8.90820571337194e-12,16.6276286753742
3439,MND1,0.936405606295345,-5.1943646117517,7.02721608028639,3.51855721672819e-12,8.92940339708981e-12,17.0764096766923
3440,PRSS27,1.09222987010865,1.63972562262648,7.02248541803414,3.63495552251742e-12,9.21690305720284e-12,16.7518319586135
3441,GMFG,-0.619862595904567,3.81732636980826,-7.02062948744131,3.68164605574901e-12,9.32930370285929e-12,16.2801145814485
3442,GCH1,0.638990082028435,4.07691238717228,7.01745488679902,3.76287949896894e-12,9.52496457664665e-12,16.3708016779369
3443,RNASET2,0.652870354302049,4.76947186692424,7.00456518823573,4.1111716230475e-12,1.03844111194819e-11,16.1867076712549
3444,LRP8,1.03184336583393,2.98702844844715,7.00326310022718,4.1480672263986e-12,1.04731405424243e-11,16.4806591715558
3445,ST3GAL5,-0.608402929544462,4.01539114086702,-7.00233817275039,4.17447295657078e-12,1.05375649898609e-11,16.1306704039508
3446,CYP4V2,-0.593505400065294,4.77348179115837,-6.99766336370503,4.31047908667022e-12,1.08762492968389e-11,16.0225760295403
