full_group,type,cluster,mean_score,rest_mean_score,diff,group.x,method.x,type_sub.x,estimate,statistic,p.value,conf.low,conf.high,method.y,alternative,null.value,screen_method,bulk,type_pheno,group.y,ssGSEA type,type_sub.y,neg_log10_p,label,tumor_type
neg | LP_SGL | Positive vs Rest,neg_marker_score,LP_SGL_Positive,0.263357860456913,0.275497363810886,0.955936045317999,Positive vs Rest,LP_SGL,neg,-0.00442963596218734,176054932,0.000207106006950865,-0.00680755516235572,-0.0020953530131684,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,3.68380730454556,***,TNBC
neg | scAB | Positive vs Rest,neg_marker_score,scAB_Positive,0.29806894622915,0.271987548978826,1.09589187941965,Positive vs Rest,scAB,neg,0.0206551370406786,106860574,7.57610438743115e-32,0.0172163997956063,0.0241034637678099,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,31.1205540500326,***,TNBC
neg | scPAS | Positive vs Rest,neg_marker_score,scPAS_Positive,0.22547082081446,0.273796893884833,0.823496635098056,Positive vs Rest,scPAS,neg,-0.029619660525795,266846,0.264435933797633,-0.0882205861609064,0.0200819057101521,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,0.577679529558371,NS,TNBC
neg | scPP | Positive vs Rest,neg_marker_score,scPP_Positive,0.260072296857214,0.274759134299553,0.946546499792336,Positive vs Rest,scPP,neg,-0.00563436810005056,89243953,0.000669080399464339,-0.00892899424054835,-0.00240146789331234,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,GSE162228,survival,Positive vs Rest,neg_ssGSEA,neg,3.17452169247771,***,TNBC
pos | DEGAS | Positive vs Rest,pos_marker_score,DEGAS_Positive,0.259971689106767,0.284711574404839,0.913105445924395,Positive vs Rest,DEGAS,pos,-0.0178066753898724,61235475,1.37983793797986e-33,-0.0208765013960383,-0.0148012204894017,Wilcoxon rank sum test with continuity correction,two.sided,0,DEGAS,GSE162228,survival,Positive vs Rest,pos_ssGSEA,pos,32.8601719185076,***,TNBC
pos | LP_SGL | Positive vs Rest,pos_marker_score,LP_SGL_Positive,0.298928167515007,0.280938713023979,1.06403337687922,Positive vs Rest,LP_SGL,pos,0.0119188156945317,196486146,2.74434405060686e-34,0.00999068638584058,0.013858607952274,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE162228,survival,Positive vs Rest,pos_ssGSEA,pos,33.5615614432884,***,TNBC
pos | scAB | Positive vs Rest,pos_marker_score,scAB_Positive,0.301164820201439,0.282163935995079,1.06733987509549,Positive vs Rest,scAB,pos,0.0140727158213233,105653438,1.42903713941611e-25,0.0114550309252367,0.0166714824129959,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,GSE162228,survival,Positive vs Rest,pos_ssGSEA,pos,24.8449564841314,***,TNBC
pos | scPAS | Positive vs Rest,pos_marker_score,scPAS_Positive,0.307816819959532,0.283469007519772,1.08589232612338,Positive vs Rest,scPAS,pos,0.0170640826379118,370788,0.431771825300087,-0.0288515386566782,0.0631048927973337,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,GSE162228,survival,Positive vs Rest,pos_ssGSEA,pos,0.364745700389742,NS,TNBC
pos | scPP | Positive vs Rest,pos_marker_score,scPP_Positive,0.311114274025873,0.28151361478995,1.10514823326754,Positive vs Rest,scPP,pos,0.0205171861610943,105292122,4.10513176789009e-45,0.0176900887155614,0.0233653315471766,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,GSE162228,survival,Positive vs Rest,pos_ssGSEA,pos,44.3866728981915,***,TNBC
neg | DEGAS | Positive vs Rest,neg_marker_score,DEGAS_Positive,0.327660374688747,0.339917628456723,0.963940517520005,Positive vs Rest,DEGAS,neg,-0.00678467575032143,61908467,2.56937698627589e-29,-0.00797363192101451,-0.00559137926828206,Wilcoxon rank sum test with continuity correction,two.sided,0,DEGAS,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,28.5901721701409,***,TNBC
neg | LP_SGL | Positive vs Rest,neg_marker_score,LP_SGL_Positive,0.308982507409833,0.342584966918394,0.901914961970397,Positive vs Rest,LP_SGL,neg,-0.00838246423870244,109528187,5.33435100236988e-90,-0.00924587111147759,-0.00756268149009698,Wilcoxon rank sum test with continuity correction,two.sided,0,LP_SGL,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,89.2729184109602,***,TNBC
neg | scAB | Positive vs Rest,neg_marker_score,scAB_Positive,0.355001396462291,0.338644387156133,1.04830143338125,Positive vs Rest,scAB,neg,0.0071771478581328,66021960,1.97510470715815e-29,0.00594205872062782,0.00837737927941144,Wilcoxon rank sum test with continuity correction,two.sided,0,scAB,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,28.7044098759689,***,TNBC
neg | SCIPAC | Positive vs Rest,neg_marker_score,SCIPAC_Positive,0.318834082549275,0.341106409477826,0.934705633463041,Positive vs Rest,SCIPAC,neg,-0.0043723144000119,101695339,1.6410407751802e-20,-0.00532223014388958,-0.0034440067444685,Wilcoxon rank sum test with continuity correction,two.sided,0,SCIPAC,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,19.7848806278343,***,TNBC
neg | scissor | Positive vs Rest,neg_marker_score,scissor_Positive,0.320753873680679,0.340605838197851,0.941715724480212,Positive vs Rest,scissor,neg,-0.00503174335443705,82436338,4.62649681314562e-23,-0.00604642951514476,-0.00403248040517426,Wilcoxon rank sum test with continuity correction,two.sided,0,scissor,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,22.33474773265,***,TNBC
neg | scPAS | Positive vs Rest,neg_marker_score,scPAS_Positive,0.364301389783103,0.338158979850378,1.07730804589099,Positive vs Rest,scPAS,neg,0.0105831492495965,74762114,1.28857582467056e-58,0.00929660992945804,0.0118453107781987,Wilcoxon rank sum test with continuity correction,two.sided,0,scPAS,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,57.8898900208328,***,TNBC
neg | scPP | Positive vs Rest,neg_marker_score,scPP_Positive,0.320727508203367,0.34087717570953,0.940888774778709,Positive vs Rest,scPP,neg,-0.00407884927720244,98468245,1.13609606809756e-19,-0.00495511559688719,-0.00318303718283582,Wilcoxon rank sum test with continuity correction,two.sided,0,scPP,GSE42568,survival,Positive vs Rest,neg_ssGSEA,neg,18.9445849432019,***,TNBC
